Date,Name,Year,Letterboxd URI,Rating
2022-01-05,Django Unchained,2012,https://boxd.it/2cCk,4
2022-01-05,The Lighthouse,2019,https://boxd.it/icFU,3.5
2022-01-05,1917,2019,https://boxd.it/jj4y,4
2022-01-05,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2022-01-27,Twin Peaks,1989,https://boxd.it/g8pk,5
2022-03-20,Shutter Island,2010,https://boxd.it/1U82,3.5
2022-03-20,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2022-09-21,Interstellar,2014,https://boxd.it/4VZ8,4.5
2022-09-23,Drive My Car,2021,https://boxd.it/sv94,4.5
2022-09-23,The Mist,2007,https://boxd.it/22r2,4
2022-11-14,Top Gun: Maverick,2022,https://boxd.it/cjr4,3.5
2022-12-24,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-01-03,Sorry to Bother You,2018,https://boxd.it/f21E,3.5
2023-01-12,Glass Onion,2022,https://boxd.it/oCkK,3
2023-01-19,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,5
2023-01-19,About Time,2013,https://boxd.it/43bI,5
2023-01-19,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2023-01-19,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,5
2023-01-19,Uncut Gems,2019,https://boxd.it/gXGc,3
2023-01-19,Taxi Driver,1976,https://boxd.it/2b8y,4
2023-01-27,¡Three Amigos!,1986,https://boxd.it/20f4,3
2023-01-29,It Follows,2014,https://boxd.it/87wo,2
2023-01-30,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2023-01-30,The Florida Project,2017,https://boxd.it/dMG0,3.5
2023-01-30,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2023-02-07,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,2
2023-02-07,The Breakfast Club,1985,https://boxd.it/27q4,3
2023-02-07,Thank You for Smoking,2005,https://boxd.it/1YOc,4
2023-02-07,Barbarian,2022,https://boxd.it/yohi,4.5
2023-02-07,Moon,2009,https://boxd.it/1IGQ,3.5
2023-02-07,North by Northwest,1959,https://boxd.it/2aRM,4
2023-02-07,Bullet Train,2022,https://boxd.it/qW26,3.5
2023-02-11,Licorice Pizza,2021,https://boxd.it/qTKY,3.5
2023-02-13,The Princess Bride,1987,https://boxd.it/26EY,3
2023-02-13,Fire of Love,2022,https://boxd.it/yoPY,4
2023-02-15,Office Space,1999,https://boxd.it/28Em,3.5
2023-02-19,Pitch Perfect,2012,https://boxd.it/3OsE,3.5
2023-02-19,Inside Out,2015,https://boxd.it/4KHC,3.5
2023-02-19,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3
2023-02-23,The Lobster,2015,https://boxd.it/7tnw,4.5
2023-02-23,Slumdog Millionaire,2008,https://boxd.it/1S3E,4
2023-02-23,Moonrise Kingdom,2012,https://boxd.it/2Wng,3
2023-02-23,This Place Rules,2022,https://boxd.it/CJGm,3
2023-02-23,Swiss Army Man,2016,https://boxd.it/bDG2,3
2023-02-24,Liar Liar,1997,https://boxd.it/28sg,3
2023-02-24,Zoolander,2001,https://boxd.it/1YMA,3
2023-03-07,La La Land,2016,https://boxd.it/a5fa,4
2023-03-10,Elvis,2022,https://boxd.it/mK4w,3
2023-03-13,Thor: Ragnarok,2017,https://boxd.it/8MHi,3.5
2023-03-13,"Confess, Fletch",2022,https://boxd.it/ra9K,3
2023-03-13,Point Break,1991,https://boxd.it/2958,3.5
2023-03-14,The Imitation Game,2014,https://boxd.it/6aig,4
2023-03-15,Avatar: The Way of Water,2022,https://boxd.it/2E2E,2.5
2023-03-17,Eyes Wide Shut,1999,https://boxd.it/2axs,3.5
2023-03-17,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,3.5
2023-03-17,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,3.5
2023-03-17,The Banshees of Inisherin,2022,https://boxd.it/p7XS,3.5
2023-03-17,Star Wars,1977,https://boxd.it/72s,3.5
2023-03-17,Memento,2000,https://boxd.it/2bcK,4
2023-03-17,Knives Out,2019,https://boxd.it/jWEA,3.5
2023-03-17,Soul,2020,https://boxd.it/ioLA,3
2023-03-21,Midsommar,2019,https://boxd.it/jhxe,4.5
2023-03-24,All Quiet on the Western Front,2022,https://boxd.it/H08,3
2023-03-27,The Fabelmans,2022,https://boxd.it/ugoM,4
2023-03-30,Hall Pass,2011,https://boxd.it/H8G,2
2023-04-01,Baby Driver,2017,https://boxd.it/bhF2,4
2023-04-05,Crazy Rich Asians,2018,https://boxd.it/gfnK,3
2023-04-06,The Campaign,2012,https://boxd.it/2Hz2,2
2023-04-09,The Maltese Falcon,1941,https://boxd.it/29c4,3
2023-04-09,On a Wing and a Prayer,2023,https://boxd.it/x8wY,2
2023-04-10,Westworld,1973,https://boxd.it/26RS,3.5
2023-04-11,Shaun of the Dead,2004,https://boxd.it/29J8,4.5
2023-04-12,All the President's Men,1976,https://boxd.it/29lU,5
2023-04-12,Spotlight,2015,https://boxd.it/a84k,4.5
2023-04-13,Spirited Away,2001,https://boxd.it/2b4m,5
2023-04-14,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/1LW8,4.5
2023-04-14,Antz,1998,https://boxd.it/1ZB4,1
2023-04-19,Wild,2014,https://boxd.it/6KQo,3
2023-04-21,The Treasure of the Sierra Madre,1948,https://boxd.it/25Lk,4
2023-04-21,Dog Day Afternoon,1975,https://boxd.it/29bg,4.5
2023-04-24,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,5
2023-04-27,Misery,1990,https://boxd.it/28gY,4
2023-04-27,Caddyshack,1980,https://boxd.it/1SCO,3
2023-05-01,Se7en,1995,https://boxd.it/29zs,4
2023-05-01,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4
2023-05-02,Robots,2005,https://boxd.it/1Xve,3
2023-05-03,Bonnie and Clyde,1967,https://boxd.it/2ajg,4
2023-05-04,The Lego Movie,2014,https://boxd.it/4pDO,4
2023-05-04,Moneyball,2011,https://boxd.it/glS,4
2023-05-05,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4
2023-05-08,Black Swan,2010,https://boxd.it/Sw0,4.5
2023-05-09,The Interview,2014,https://boxd.it/6KQ4,3
2023-05-11,Whiplash,2014,https://boxd.it/7bQA,4
2023-05-12,Cabaret,1972,https://boxd.it/1Vpe,3.5
2023-05-12,City Slickers,1991,https://boxd.it/28P0,3
2023-05-12,Empire of the Sun,1987,https://boxd.it/1X4i,2.5
2023-05-12,Lincoln,2012,https://boxd.it/2n2s,2
2023-05-12,Nope,2022,https://boxd.it/sDCe,4
2023-05-13,Nomadland,2020,https://boxd.it/lnRy,2.5
2023-05-13,King Richard,2021,https://boxd.it/mJZ2,3.5
2023-05-13,The Cable Guy,1996,https://boxd.it/1XAI,2
2023-05-13,Belfast,2021,https://boxd.it/tefG,3
2023-05-13,Runaway Christmas Bride,2017,https://boxd.it/hGhm,0.5
2023-05-13,Reservoir Dogs,1992,https://boxd.it/2agc,2.5
2023-05-14,Air,2023,https://boxd.it/Arlc,3.5
2023-05-14,61*,2001,https://boxd.it/1DjM,3.5
2023-05-15,Emily the Criminal,2022,https://boxd.it/wBOq,3
2023-05-15,Rookie of the Year,1993,https://boxd.it/2lyG,3
2023-05-17,After Hours,1985,https://boxd.it/1VfS,4.5
2023-05-17,Home Alone,1990,https://boxd.it/29Fg,4
2023-05-17,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ,4
2023-05-17,The Incredibles,2004,https://boxd.it/1XLm,4
2023-05-17,Madagascar,2005,https://boxd.it/29dc,3.5
2023-05-17,Elf,2003,https://boxd.it/1VyK,3.5
2023-05-17,Batman & Robin,1997,https://boxd.it/2ar0,1
2023-05-17,Child's Play,1988,https://boxd.it/1VTo,3.5
2023-05-17,Gremlins,1984,https://boxd.it/29gg,3
2023-05-17,Full Metal Jacket,1987,https://boxd.it/2a1Q,4
2023-05-17,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4
2023-05-18,Locked In,2017,https://boxd.it/i04C,1.5
2023-05-22,Now You See Me,2013,https://boxd.it/2Bsu,3
2023-05-22,Zodiac,2007,https://boxd.it/27MO,4.5
2023-05-22,There Will Be Blood,2007,https://boxd.it/20Z2,4
2023-05-23,8½,1963,https://boxd.it/2aqm,4
2023-05-24,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,3.5
2023-05-24,Persona,1966,https://boxd.it/29B4,5
2023-05-24,A Quiet Place Part II,2020,https://boxd.it/iTx0,3
2023-05-24,Can't Buy Me Love,1987,https://boxd.it/1R4c,3.5
2023-05-24,Toy Story 2,1999,https://boxd.it/29qq,4
2023-05-24,WALL·E,2008,https://boxd.it/1VEo,4.5
2023-05-24,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2023-05-26,Autumn Sonata,1978,https://boxd.it/1Rio,5
2023-05-27,M,1931,https://boxd.it/29vq,4.5
2023-05-28,A Man Called Otto,2022,https://boxd.it/zl06,3
2023-05-29,Alvin and the Chipmunks,2007,https://boxd.it/21E0,2.5
2023-05-29,Gone in the Night,2022,https://boxd.it/wYsi,2
2023-05-29,Gravity,2013,https://boxd.it/GZY,2.5
2023-05-29,Mr. Deeds,2002,https://boxd.it/27BQ,2.5
2023-05-30,Kidnap,2017,https://boxd.it/9g38,2
2023-06-08,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2023-06-10,We're the Millers,2013,https://boxd.it/4srQ,2.5
2023-06-10,The Boss Baby,2017,https://boxd.it/9mfO,3
2023-06-11,The Worst Person in the World,2021,https://boxd.it/oyws,5
2023-06-11,Aftersun,2022,https://boxd.it/Arw0,5
2023-06-11,Tusk,2014,https://boxd.it/7eoa,2.5
2023-06-12,The Accountant,2016,https://boxd.it/9EhI,3
2023-06-13,Moonlight,2016,https://boxd.it/d6bE,4
2023-06-15,The Social Network,2010,https://boxd.it/17ue,4.5
2023-06-15,The Lie,2018,https://boxd.it/jF2a,2.5
2023-06-17,My Dinner with Andre,1981,https://boxd.it/1vLe,4
2023-06-17,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3.5
2023-06-18,Reality,2023,https://boxd.it/BeLI,3
2023-06-18,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4.5
2023-06-18,How Do You Measure a Year?,2021,https://boxd.it/vVNK,1.5
2023-06-18,When We Were Bullies,2021,https://boxd.it/tcaO,1
2023-06-19,The Lego Movie 2: The Second Part,2019,https://boxd.it/8BAU,3
2023-06-19,House of D,2004,https://boxd.it/1xO0,2.5
2023-06-21,"To Love, Honor and Deceive",1996,https://boxd.it/2ws,2
2023-06-21,Cars,2006,https://boxd.it/29ho,3.5
2023-06-21,The Founder,2016,https://boxd.it/9XwM,3.5
2023-06-21,Taken,2008,https://boxd.it/1ZXa,3.5
2023-06-21,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,3
2023-06-21,Step Brothers,2008,https://boxd.it/1SsE,2.5
2023-06-21,Despicable Me,2010,https://boxd.it/1DD8,3
2023-06-21,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6,3
2023-06-21,The Hangover,2009,https://boxd.it/1GjK,4
2023-06-21,22 Jump Street,2014,https://boxd.it/5Fvy,3
2023-06-22,Bama Rush,2023,https://boxd.it/DRTK,1.5
2023-06-29,Dog,2022,https://boxd.it/nd4K,2.5
2023-07-01,Hidden Figures,2016,https://boxd.it/dgS4,3.5
2023-07-01,The Polar Express,2004,https://boxd.it/23am,2
2023-07-01,The Emperor's New Groove,2000,https://boxd.it/1Tey,3.5
2023-07-01,Windy City Heat,2003,https://boxd.it/Lty,3
2023-07-01,Wayne's World,1992,https://boxd.it/1ZHG,3.5
2023-07-01,Tommy Boy,1995,https://boxd.it/1TZ0,3.5
2023-07-01,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,3.5
2023-07-02,The Sandlot,1993,https://boxd.it/1TDy,3.5
2023-07-03,Fatal Flip,2015,https://boxd.it/bwZQ,1.5
2023-07-04,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,3
2023-07-04,M3GAN,2022,https://boxd.it/jxmG,3
2023-07-05,Knocked Up,2007,https://boxd.it/23yS,2.5
2023-07-05,"I Love You, Man",2009,https://boxd.it/1JZu,4
2023-07-09,Juno,2007,https://boxd.it/210a,4
2023-07-10,Identity Thief,2013,https://boxd.it/3GOW,1.5
2023-07-10,Horrible Bosses,2011,https://boxd.it/Ba2,3
2023-07-12,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,3.5
2023-07-13,Wild Strawberries,1957,https://boxd.it/29ZU,4.5
2023-07-13,Trainspotting,1996,https://boxd.it/29XY,4
2023-07-14,Mission: Impossible,1996,https://boxd.it/29d2,3.5
2023-07-14,The Skeleton Twins,2014,https://boxd.it/7bCS,4
2023-07-16,Bros,2022,https://boxd.it/mJZw,3.5
2023-07-16,The Truman Show,1998,https://boxd.it/18U8,5
2023-07-17,The Disaster Artist,2017,https://boxd.it/cTqc,3.5
2023-07-17,The Family Man,2000,https://boxd.it/22e8,3
2023-07-17,Father of the Bride,1991,https://boxd.it/1SWY,3.5
2023-07-18,Father of the Bride Part II,1995,https://boxd.it/1SUo,3
2023-07-18,Palm Springs,2020,https://boxd.it/lCXQ,4.5
2023-07-20,The Lego Batman Movie,2017,https://boxd.it/azp0,3.5
2023-07-20,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,3.5
2023-07-20,Ace Ventura: When Nature Calls,1995,https://boxd.it/1Z66,2.5
2023-07-21,School of Rock,2003,https://boxd.it/28xK,4
2023-07-22,Silver Linings Playbook,2012,https://boxd.it/2TTo,3.5
2023-07-22,Shrek,2001,https://boxd.it/29zi,3.5
2023-07-22,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,3.5
2023-07-22,The Seventh Seal,1957,https://boxd.it/2ahO,3.5
2023-07-23,The Hunger Games,2012,https://boxd.it/2uds,3.5
2023-07-24,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,3.5
2023-07-24,Dirty Harry,1971,https://boxd.it/299E,4
2023-07-24,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,2
2023-07-24,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,4.5
2023-07-25,Fantastic Planet,1973,https://boxd.it/1KnQ,4
2023-07-25,Toy Story,1995,https://boxd.it/29qA,3.5
2023-07-25,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,3
2023-07-25,Lady Bird,2017,https://boxd.it/dGNE,5
2023-07-25,(500) Days of Summer,2009,https://boxd.it/1EmM,4.5
2023-07-25,Pulp Fiction,1994,https://boxd.it/29Pq,4
2023-07-25,Groundhog Day,1993,https://boxd.it/2b3e,4
2023-07-26,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,3.5
2023-07-26,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,2
2023-07-26,Magnum Force,1973,https://boxd.it/1VJy,3.5
2023-07-27,Forrest Gump,1994,https://boxd.it/728,4
2023-07-27,Lost in Translation,2003,https://boxd.it/2b0E,3.5
2023-07-27,Gone Girl,2014,https://boxd.it/6hQu,4.5
2023-07-28,Clueless,1995,https://boxd.it/1Ygk,4
2023-07-28,Election,1999,https://boxd.it/1YEc,3.5
2023-07-29,Kicking and Screaming,1995,https://boxd.it/1pHK,3
2023-07-30,Easy A,2010,https://boxd.it/17DK,3
2023-07-30,Marriage Story,2019,https://boxd.it/hJAw,4.5
2023-07-30,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2023-07-31,This Is the End,2013,https://boxd.it/3GB4,3
2023-07-31,Idiocracy,2006,https://boxd.it/20RW,2
2023-07-31,Kicking & Screaming,2005,https://boxd.it/1XnE,2.5
2023-07-31,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,4
2023-07-31,Battle Royale,2000,https://boxd.it/25zS,3.5
2023-08-01,The Goonies,1985,https://boxd.it/1YVC,4
2023-08-02,The Squid and the Whale,2005,https://boxd.it/1VAG,4.5
2023-08-04,Sudden Impact,1983,https://boxd.it/1VJe,2.5
2023-08-05,Frances Ha,2012,https://boxd.it/41Xg,5
2023-08-05,Greenberg,2010,https://boxd.it/1rt6,3.5
2023-08-06,Nightcrawler,2014,https://boxd.it/780m,4
2023-08-10,Blade Runner 2049,2017,https://boxd.it/b8wK,3.5
2023-08-12,Tenacious D in The Pick of Destiny,2006,https://boxd.it/27go,3.5
2023-08-13,Jurassic Park,1993,https://boxd.it/2aA2,4
2023-08-13,The Passion of Joan of Arc,1928,https://boxd.it/29DO,3.5
2023-08-13,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,https://boxd.it/rNS0,3
2023-08-21,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,4
2023-08-22,Stalker,1979,https://boxd.it/28PO,4
2023-08-28,Superbad,2007,https://boxd.it/20hO,4
2023-08-28,Spider-Man: Homecoming,2017,https://boxd.it/aboM,4
2023-08-29,Lockdown: 2025,2021,https://boxd.it/vdOu,1
2023-09-14,The Master,2012,https://boxd.it/2cBG,4
2023-09-16,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2023-09-17,The Menu,2022,https://boxd.it/lScm,4
2023-09-18,Theater Camp,2023,https://boxd.it/Bfbm,4.5
2023-09-26,Shiva Baby,2020,https://boxd.it/oIv0,4
2023-09-27,Joe Dirt,2001,https://boxd.it/1UZ6,2.5
2023-09-27,Blood Simple,1984,https://boxd.it/1U16,4.5
2023-09-28,Cocaine Bear,2023,https://boxd.it/ugw2,2
2023-10-02,Scary Movie,2000,https://boxd.it/24CG,3
2023-10-04,Teen Wolf,1985,https://boxd.it/1T0c,2
2023-10-05,Coraline,2009,https://boxd.it/1NhQ,4
2023-10-10,Saw,2004,https://boxd.it/2aWW,3.5
2023-10-11,Saw II,2005,https://boxd.it/2aRs,3
2023-10-12,Jennifer's Body,2009,https://boxd.it/1Efw,3
2023-10-13,Get Out,2017,https://boxd.it/eOCm,4.5
2023-10-14,Trump vs the Illuminati,2020,https://boxd.it/s8v2,0.5
2023-10-16,Renfield,2023,https://boxd.it/o8vy,3
2023-10-17,Semi-Pro,2008,https://boxd.it/1Qw0,3
2023-10-17,Totally Killer,2023,https://boxd.it/AOpG,2.5
2023-10-19,Suspiria,1977,https://boxd.it/1SNW,4.5
2023-10-24,It,2017,https://boxd.it/bC8e,3
2023-10-24,It Chapter Two,2019,https://boxd.it/h10u,3
2023-10-27,The Shining,1980,https://boxd.it/29Nu,5
2023-10-28,Lucy,2014,https://boxd.it/75hu,1.5
2023-10-28,Five Nights at Freddy's,2023,https://boxd.it/ikHu,2.5
2023-10-28,Gran Turismo,2023,https://boxd.it/B2lS,3
2023-10-28,The Nice Guys,2016,https://boxd.it/94Hg,4
2023-10-28,Sherlock Jr.,1924,https://boxd.it/298m,5
2023-10-29,Ex Machina,2015,https://boxd.it/7T2k,4.5
2023-10-30,Midnight in Paris,2011,https://boxd.it/i4a,4.5
2023-10-30,Raising Arizona,1987,https://boxd.it/2avQ,3.5
2023-11-07,No Hard Feelings,2023,https://boxd.it/xouu,3
2023-11-08,This Is Where I Leave You,2014,https://boxd.it/73kQ,2.5
2023-11-10,BlacKkKlansman,2018,https://boxd.it/hxL8,3.5
2023-11-13,The Killer,2023,https://boxd.it/u6WE,3
2023-11-15,Pitch Perfect 2,2015,https://boxd.it/7tNa,2.5
2023-11-20,"I, Tonya",2017,https://boxd.it/dzR0,4.5
2023-11-22,Destined 2: Christmas Once More,2023,https://boxd.it/H3Lu,2
2023-11-24,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE,5
2023-11-24,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,5
2023-11-24,Scott Pilgrim Takes Off,2023,https://boxd.it/JLZk,5
2023-12-03,Doctor Who: Wild Blue Yonder,2023,https://boxd.it/HDIm,4
2023-12-07,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3
2023-12-10,Doctor Who: The Giggle,2023,https://boxd.it/HDIw,3.5
2023-12-10,Doctor Who: The Power of the Doctor,2022,https://boxd.it/KrZm,3.5
2023-12-11,Godzilla Minus One,2023,https://boxd.it/zu4c,4
2023-12-13,Night at the Museum,2006,https://boxd.it/28wi,3
2023-12-16,May December,2023,https://boxd.it/vEE2,4
2023-12-16,Cross Country Christmas,2020,https://boxd.it/rGAy,2.5
2023-12-17,Wonka,2023,https://boxd.it/tCQm,3
2023-12-18,Fargo,1996,https://boxd.it/2aHM,4.5
2023-12-18,Minari,2020,https://boxd.it/mL9M,4.5
2023-12-18,The Farewell,2019,https://boxd.it/kIky,4
2023-12-19,Asteroid City,2023,https://boxd.it/s3ds,4
2023-12-23,Journey to Christmas,2023,https://boxd.it/ILcU,2
2023-12-24,Burning,2018,https://boxd.it/hHUa,3.5
2023-12-25,Feast of the Seven Fishes,2019,https://boxd.it/nzPS,4
2023-12-25,Love Actually,2003,https://boxd.it/2aeU,3
2023-12-27,Past Lives,2023,https://boxd.it/oNB8,5
2023-12-27,Game Night,2018,https://boxd.it/fRtu,3.5
2023-12-28,Barbie,2023,https://boxd.it/bCLK,4
2023-12-30,Postcard From Earth,2023,https://boxd.it/J6zq,3
2023-12-31,The Big Short,2015,https://boxd.it/ajZw,3.5
2024-01-03,Parasite,2019,https://boxd.it/hTha,5
2024-01-03,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2024-01-03,Mamma Mia!,2008,https://boxd.it/1Tnq,3
2024-01-04,Mamma Mia! Here We Go Yet Again,2019,https://boxd.it/lG46,2.5
2024-01-04,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,2.5
2024-01-07,The Color Purple,2023,https://boxd.it/ksja,3.5
2024-01-15,Saw X,2023,https://boxd.it/zUWk,3
2024-01-15,Percy Jackson: Sea of Monsters,2013,https://boxd.it/2D8m,1.5
2024-01-16,Percy Jackson & the Olympians: The Lightning Thief,2010,https://boxd.it/1gJi,2
2024-01-16,The Curse,2023,https://boxd.it/IWYq,4.5
2024-01-28,American Fiction,2023,https://boxd.it/DYHm,4
2024-01-28,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4.5
2024-01-29,Anatomy of a Fall,2023,https://boxd.it/yuDE,4.5
2024-01-31,Rustin,2023,https://boxd.it/xVRG,3
2024-02-04,The Zone of Interest,2023,https://boxd.it/gJsA,4.5
2024-02-10,Normal People,2020,https://boxd.it/q2VY,4
2024-02-10,Aliens in the Attic,2009,https://boxd.it/1COY,2.5
2024-02-18,Fifty Shades of Grey,2015,https://boxd.it/6qLo,2
2024-02-18,Fifty Shades Darker,2017,https://boxd.it/bm2E,0.5
2024-02-23,Fifty Shades Freed,2018,https://boxd.it/bb5C,1
2024-03-03,Priscilla,2023,https://boxd.it/Cz3k,3.5
2024-03-04,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,4
2024-03-08,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,1.5
2024-03-09,Jack Reacher,2012,https://boxd.it/2BUo,3
2024-03-31,Her Boyfriend's Secret,2018,https://boxd.it/jZ3i,1.5
2024-04-03,Sound of Freedom,2023,https://boxd.it/piEi,2
2024-04-06,Anyone But You,2023,https://boxd.it/EzA8,2
2024-04-08,The Iron Claw,2023,https://boxd.it/w5Pm,4
2024-04-29,Good Will Hunting,1997,https://boxd.it/2ahY,5
2024-05-05,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2024-05-08,Madame Web,2024,https://boxd.it/nwD0,1
2024-05-09,Hoodwinked!,2005,https://boxd.it/1UVS,5
2024-05-09,Kingdom of Heaven,2005,https://boxd.it/28Gs,3
2024-05-11,Glengarry Glen Ross,1992,https://boxd.it/1Yw8,3.5
2024-05-11,He Knows Your Every Move,2018,https://boxd.it/kCF6,1.5
2024-05-13,Mommy Meanest,2024,https://boxd.it/L6oQ,2
2024-05-13,The Great Gatsby,2013,https://boxd.it/JY,3
2024-05-14,The Wrong Stepmother,2019,https://boxd.it/mHtI,1
2024-05-15,The Fundamentals of Caring,2016,https://boxd.it/aiai,3
2024-05-15,Lars and the Real Girl,2007,https://boxd.it/21tG,4.5
2024-05-15,I Can Make You Love Me,1993,https://boxd.it/49yo,4
2024-05-17,Heat,1995,https://boxd.it/2bg8,4.5
2024-05-18,The Idea of You,2024,https://boxd.it/vOW6,1.5
2024-05-19,Unfrosted,2024,https://boxd.it/vPY8,1.5
2024-05-20,Challengers,2024,https://boxd.it/zld0,4
2024-05-21,Into the Wild,2007,https://boxd.it/22m2,4.5
2024-05-21,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4
2024-05-21,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,4
2024-05-21,BEEF,2023,https://boxd.it/FPsm,4
2024-05-23,Bottoms,2023,https://boxd.it/uGf2,4.5
2024-05-26,Wonder,2017,https://boxd.it/ekeY,4
2024-05-30,Sixteen Candles,1984,https://boxd.it/1MJk,2.5
2024-05-30,Heathers,1989,https://boxd.it/26x4,3.5
2024-05-31,Dream Scenario,2023,https://boxd.it/v2h0,4.5
2024-06-01,The Garfield Movie,2024,https://boxd.it/s93y,2.5
2024-06-03,"MoviePass, MovieCrash",2024,https://boxd.it/KH7K,3
2024-06-03,Mean Girls,2024,https://boxd.it/p6nO,2
2024-06-03,Miller's Girl,2024,https://boxd.it/CP8U,1
2024-06-03,Amélie,2001,https://boxd.it/2aUc,4
2024-06-03,Pretty in Pink,1986,https://boxd.it/1TEw,2
2024-06-04,Mike Birbiglia: The Old Man and the Pool,2023,https://boxd.it/Jvp6,4
2024-06-05,We're All Going to the World's Fair,2021,https://boxd.it/tbmY,3
